12716 FQ670178-_Pathogens_36101_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.820
1549 CP001095-_Actinobacteria_13919_2	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.910
3861 CP003301-_Pathogens_90586_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.960
12417 CP000857-_Pathogens_3806_2	Root;k__Bacteria	0.950
18348 CP002467-_Acidobacteria_1672082_2	Root;k__Bacteria	0.990
14919 HE616528-_Proteobacteria_11918_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.870
22478 CP003364-_Planctomycetes_244713_2	Root;k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.840
7944 CP003653-_Cyanobacteria_4252_1	Root;k__Bacteria;p__Cyanobacteria	0.820
27950 CP003379-_Acidobacteria_1762859_2	Root;k__Bacteria	0.990
16179 CP002729-_Pathogens_64185_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.830
5443 CP000250-_Proteobacteria_19875_1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	0.940
9717 ENA_BX470250_BX470250.1-_Proteobacteria_14433_2	Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.970
24881 CR543861-_Proteobacteria_12641_2	Root;k__Bacteria	1.000
25983 AE016879-_Firmicutes_14891_2	Root;k__Bacteria;p__Firmicutes;c__Bacilli	0.850
14132 CP003235-_Firmicutes_93899_2	Root;k__Bacteria;p__Firmicutes;c__Bacilli	0.910
1098 CU459141-_Pathogens_25211_2	Root;k__Bacteria	1.000
14800 CP003856-_Pathogens_7156_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.920
8370 CP003364-_Planctomycetes_47749_1	Root;k__Bacteria;p__Planctomycetes	0.800
1468 CP000863-_Pathogens_47977_2	Root;k__Bacteria;p__Proteobacteria	0.810
11878 CU459141-_Pathogens_65961_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	1.000
28982 CP002352-_Bacteroidetes_76584_1	Root;k__Bacteria	0.980
21495 CP000559-_Euryarchaeota_25226_2	Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae	0.950
14417 AE017220-_Pathogens_78757_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.920
14234 CP001016-_Proteobacteria_7234_1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.920
25280 CP002736-_Firmicutes_6147_2	Root;k__Bacteria	0.990
25331 CP004405-_Firmicutes_8316_1	Root;k__Bacteria;p__Firmicutes;c__Bacilli	0.940
23013 CP003594-_Cyanobacteria_12729_1	Root;k__Bacteria	1.000
14798 CP001618-_Actinobacteria_7098_2	Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.990
14760 FN649414-_Pathogens_19941_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.880
21350 CP001364-_Chloroflexi_265413_2	Root;k__Bacteria	0.980
6295 CP002101-_Euryarchaeota_19757_1	Root;k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	0.890
22257 CP002084-_Chloroflexi_60982_2	Root;k__Bacteria	0.950
11399 CP001819-_Actinobacteria_9619_1	Root;k__Bacteria;p__Actinobacteria	0.800
21203 CT573326-_Proteobacteria_12423_2	Root;k__Bacteria	1.000
7054 CP003196-_Actinobacteria_15956_2	Root;k__Bacteria	0.980
23333 CP002835-_Firmicutes_34341_1	Root;k__Bacteria	0.990
27793 CP003879-_Bacteroidetes_2588_2	Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.980
13090 CP001235-_Pathogens_2779_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.800
14219 FN649414-_Pathogens_103217_1	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.930
6348 CP000885-_Firmicutes_44765_2	Root;k__Bacteria	1.000
15033 CP003329-_Firmicutes_35482_2	Root;k__Bacteria;p__Firmicutes	0.830
3933 CP000922-_Firmicutes_21666_1	Root;k__Bacteria	1.000
23214 Rose_mixed_divergence_sequence_c-_Simulated_202899_1	Root;k__Bacteria	0.840
17099 CP004142-_Proteobacteria_16642_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.910
17426 CP002839-_Euryarchaeota_46284_1	Root;k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales	0.950
4541 CP001022-_Firmicutes_9776_1	Root;k__Bacteria	0.990
4560 HE802067-_Actinobacteria_6158_2	Root;k__Bacteria	0.980
19587 CP002919-_Nitrospira_254566_1	Root;k__Bacteria	1.000
5966 CP000633-_Proteobacteria_8360_1	Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.950
18851 CP002530-_Bacteroidetes_33967_1	Root;k__Bacteria	0.950
10319 CP002919-_Nitrospira_259650_2	Root;k__Bacteria	1.000
23408 CP002614-_Pathogens_98362_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.860
26237 CP001071-_Verrucomicrobia_326246_2	Root;k__Bacteria	1.000
30312 CP003629-_Firmicutes_21711_1	Root;k__Bacteria	1.000
27135 CP004009-_Pathogens_110754_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.910
28496 CP003422-_Firmicutes_86587_2	Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.990
9503 CP000863-_Pathogens_20555_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.960
3841 CP002099-_Pathogens_82688_2	Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.960
