"Carbohydrates"	 1275
"Respiration"	 709
"Nucleosides and Nucleotides"	 169
"Stress Response"	 236
"Protein Metabolism"	 368
"Regulation and Cell signaling"	 232
"Cell Wall and Capsule"	 420
"Miscellaneous"	 67
"Photosynthesis"	 123
"RNA Metabolism"	 221
"Metabolism of Aromatic Compounds"	 278
"Clustering-based subsystems"	 314
"Phosphorus Metabolism"	 64
"Phages, Prophages, Transposable elements"	 11
"Secondary Metabolism"	 74
"Dormancy and Sporulation"	 117
"Amino Acids and Derivatives"	 545
"Iron acquisition and metabolism"	 280
"Phages, Prophages, Transposable elements, Plasmids"	 102
"Cell Division and Cell Cycle"	 87
"Membrane Transport"	 442
"Nitrogen Metabolism"	 183
"Sulfur Metabolism"	 82
"DNA Metabolism"	 215
"Cofactors, Vitamins, Prosthetic Groups, Pigments"	 524
"Fatty Acids, Lipids, and Isoprenoids"	 143
"Virulence, Disease and Defense"	 310
"Potassium metabolism"	 55
"Motility and Chemotaxis"	 99
"Virulence"	 55
