"Carbohydrates"	 1244
"Respiration"	 716
"Nucleosides and Nucleotides"	 168
"Stress Response"	 249
"Protein Metabolism"	 408
"Regulation and Cell signaling"	 295
"Cell Wall and Capsule"	 436
"Miscellaneous"	 59
"Photosynthesis"	 124
"RNA Metabolism"	 237
"Metabolism of Aromatic Compounds"	 254
"Clustering-based subsystems"	 273
"Phosphorus Metabolism"	 60
"Phages, Prophages, Transposable elements"	 10
"Secondary Metabolism"	 69
"Dormancy and Sporulation"	 121
"Amino Acids and Derivatives"	 541
"Iron acquisition and metabolism"	 310
"Phages, Prophages, Transposable elements, Plasmids"	 144
"Cell Division and Cell Cycle"	 78
"Membrane Transport"	 476
"Nitrogen Metabolism"	 176
"Sulfur Metabolism"	 94
"DNA Metabolism"	 299
"Cofactors, Vitamins, Prosthetic Groups, Pigments"	 500
"Fatty Acids, Lipids, and Isoprenoids"	 143
"Virulence, Disease and Defense"	 391
"Potassium metabolism"	 62
"Motility and Chemotaxis"	 106
"Virulence"	 52
