"Actinobacteria <phylum>"	1248080
"Aquificae <phylum>"	2232
"Armatimonadetes"	850
"Bacteroidetes"	853482
"Chlamydiae"	288
"Lentisphaerae"	19
"Verrucomicrobia"	268541
"Chloroflexi"	394127
"Chrysiogenetes <phylum>"	514
"Cyanobacteria"	340607
"Deferribacteres <phylum>"	621
"Deinococcus-Thermus"	9858
"Acidobacteria"	876564
"Fibrobacteres"	309
"Marinimicrobia"	1750
"Firmicutes"	1288775
"Fusobacteria"	1406
"Gemmatimonadetes"	71868
"Nitrospinae"	318
"Nitrospirae"	93402
"Planctomycetes"	35472
"Proteobacteria"	5181735
"Spirochaetes"	404554
"Synergistetes"	1021
"Tenericutes"	520
"Thermodesulfobacteria <phylum>"	1836
"Thermotogae <phylum>"	1015
"Acetothermia"	181
"Aerophobetes"	409
"Aminicenantes"	1853
"Atribacteria"	1771
"Calescamantes"	879
"candidate division BRC1"	1466
"candidate division EM 3"	9
"candidate division SR1"	36
"candidate division WWE3"	70
"candidate division ZIXI"	1572
"Candidatus Saccharibacteria"	96
"Cloacimonetes"	702
"Fervidibacteria"	383
"Haloplasmatales"	14
"Hydrogenedentes"	396
"Latescibacteria"	498
"Microgenomates"	178
"Omnitrophica"	884
"Parcubacteria"	162
"Poribacteria"	2988
"unclassified Bacteria (miscellaneous)"	12216
"Crenarchaeota"	168113
"environmental samples <Archaea>"	14146
"Euryarchaeota"	135861
"Nanoarchaeota"	39
"Thaumarchaeota"	237
"Not assigned"	16704238
