"Actinobacteria <phylum>"	1362506
"Aquificae <phylum>"	2403
"Armatimonadetes"	935
"Bacteroidetes"	934867
"Chlamydiae"	323
"Lentisphaerae"	14
"Verrucomicrobia"	292840
"Chloroflexi"	430354
"Chrysiogenetes <phylum>"	537
"Cyanobacteria"	372964
"Deferribacteres <phylum>"	652
"Deinococcus-Thermus"	10783
"Acidobacteria"	963903
"Fibrobacteres"	361
"Marinimicrobia"	1925
"Firmicutes"	1405346
"Fusobacteria"	1470
"Gemmatimonadetes"	78616
"Nitrospinae"	321
"Nitrospirae"	102349
"Planctomycetes"	39003
"Proteobacteria"	5657150
"Spirochaetes"	441359
"Synergistetes"	1113
"Tenericutes"	581
"Thermodesulfobacteria <phylum>"	2003
"Thermotogae <phylum>"	1105
"Acetothermia"	228
"Aerophobetes"	472
"Aminicenantes"	2036
"Atribacteria"	2124
"Calescamantes"	1037
"Candidatus Saccharibacteria"	85
"Cloacimonetes"	840
"Fervidibacteria"	469
"Hydrogenedentes"	453
"Latescibacteria"	551
"Microgenomates"	218
"Omnitrophica"	983
"Parcubacteria"	199
"Poribacteria"	3456
"Crenarchaeota"	182367
"Euryarchaeota"	148055
"Nanoarchaeota"	30
"Thaumarchaeota"	226
