Proteobacteria	10850142
Actinobacteria	5149226
Acidobacteria	4098423
Cyanobacteria	2540719
Chloroflexi	1760781
Chlorobi	1625791
Planctomycetes	1602512
Verrucomicrobia	1556675
Bacteroidetes	1501153
Firmicutes	1115087
Spirochaetes	592903
Gemmatimonadetes	322514
Crenarchaeota	236932
Euryarchaeota	151581
Ascomycota	130228
Elusimicrobia	110845
Streptophyta	107538
Nitrospirae	98072
Chordata	59178
Deinococcus-Thermus	27428
Thermotogae	9531
Aquificae	8983
Fusobacteria	5524
Chlamydiae	5400
Synergistetes	3877
Arthropoda	3596
Lentisphaerae	3595
Deferribacteres	3514
Chlorophyta	2981
Tenericutes	2603
Dictyoglomi	2277
Basidiomycota	1759
Cnidaria	1635
Poribacteria	1591
Nematoda	1233
Chrysiogenetes	1090
Fibrobacteres	814
Bacillariophyta	770
Apicomplexa	675
Thaumarchaeota	357
Phaeophyceae	283
Echinodermata	236
Korarchaeota	218
Placozoa	176
Platyhelminthes	129
Microsporidia	101
Euglenida	95
Xanthophyceae	74
Mollusca	61
Hemichordata	55
Nanoarchaeota	51
Annelida	27
Chromerida	26
Neocallimastigomycota	25
Porifera	18
Pinguiophyceae	11
Glomeromycota	10
Blastocladiomycota	8
Rotifera	7
Tardigrada	7
Kinorhyncha	4
Bryozoa	2
Eustigmatophyceae	2
Nemertea	1
