Proteobacteria	8637322
Acidobacteria	5316188
Actinobacteria	2620646
Firmicutes	2210417
Bacteroidetes	1493946
Verrucomicrobia	1412710
Planctomycetes	1302264
Chloroflexi	1300932
Euryarchaeota	908877
Cyanobacteria	836563
Crenarchaeota	614349
Spirochaetes	541701
Nitrospirae	458772
Gemmatimonadetes	288374
Chlorobi	280993
Ascomycota	118229
Elusimicrobia	101456
Streptophyta	96104
Chordata	52779
Deinococcus-Thermus	27425
Aquificae	12897
Thermotogae	12672
Fusobacteria	6763
Poribacteria	6062
Chlamydiae	5162
Synergistetes	4976
Deferribacteres	4409
Arthropoda	3756
Dictyoglomi	3334
Lentisphaerae	3252
Tenericutes	2959
Chlorophyta	2058
Cnidaria	1730
Basidiomycota	1617
Chrysiogenetes	1251
Nematoda	1091
Fibrobacteres	915
Apicomplexa	699
Bacillariophyta	557
Korarchaeota	549
Thaumarchaeota	514
Echinodermata	218
Phaeophyceae	167
Placozoa	153
Microsporidia	123
Nanoarchaeota	114
Platyhelminthes	96
Hemichordata	51
Mollusca	47
Euglenida	41
Porifera	29
Xanthophyceae	24
Neocallimastigomycota	21
Annelida	21
Glomeromycota	10
Chromerida	9
Nemertea	7
Rotifera	6
Blastocladiomycota	4
Tardigrada	4
Chytridiomycota	3
Priapulida	2
Sipuncula	2
Kinorhyncha	1
Bryozoa	1
Eustigmatophyceae	1
