Cyanobacteria	552667
Proteobacteria	4260601
Firmicutes	1214683
Deinococcus-Thermus	10
Candidatus_Saccharibacteria	1
Cloacimonetes	1
Fusobacteria	3
Nitrospirae	560161
Verrucomicrobia	933634
Chlamydiae	13
Caldiserica	1
Bacteroidetes	1027188
Chlorobi	186774
Elusimicrobia	93360
Acidobacteria	4668298
Fibrobacteres	1
Gemmatimonadetes	186732
Aquificae	4
Chloroflexi	1026903
Thermotogae	9
Deferribacteres	1
Chrysiogenetes	1
Thermodesulfobacteria	6
Actinobacteria	1307214
Planctomycetes	1307145
Spirochaetes	600794
Synergistetes	1
Tenericutes	525
Crenarchaeota	560199
Euryarchaeota	747867
Thaumarchaeota	5
