Phylum	Reads
Acidobacteria	3404643
Chlorobi	998051
Spirochaetes	622022
Human	435283
Verrucomicrobia	999657
Planctomycetes	1601530
Actinobacteria	2602204
Chloroflexi	1401111
Proteobacteria	5038887
Gemmatimonadetes	200314
None	151439
Bacteroidetes	996437
Ascomycota	101499
Elusimicrobia	99160
Cyanobacteria	1638068
Firmicutes	521965
Crenarchaeota	200240
Nitrospirae	99516
Euryarchaeota	99986
Chlamydiae	189
Apicomplexa	773
Basidiomycota	178
Chytridiomycota	8
Microsporidia	11
Deinococcus-Thermus	17
Aerophobetes	5
Tenericutes	22
Fibrobacteres	3
Thermotogae	9
Poribacteria	4
Latescibacteria	3
Atribacteria	5
Aquificae	3
Thermodesulfobacteria	3
Armatimonadetes	4
Fervidibacteria	2
Nitrospinae	3
Cloacimonetes	2
Candidatus Saccharibacteria	3
Microgenomates	4
Fusobacteria	6
Synergistetes	1
Deferribacteres	1
Parcubacteria	1
Omnitrophica	1
Caldiserica	1
Lentisphaerae	1
Gracilibacteria	1
Ignavibacteriae	1
Dictyoglomi	1
Nanohaloarchaeota	1
Marinimicrobia	1
