Phylum	Reads
Acidobacteria	6468647
Spirochaetes	804531
Human	562462
Verrucomicrobia	1291514
Planctomycetes	1810540
Proteobacteria	5966653
Nitrospirae	771157
Chloroflexi	1422131
Gemmatimonadetes	258760
Actinobacteria	1810589
Chlorobi	257775
Crenarchaeota	775987
Firmicutes	1682762
Bacteroidetes	1416422
Ascomycota	131261
None	108084
Elusimicrobia	128173
Euryarchaeota	1033290
Cyanobacteria	705350
Apicomplexa	999
Chlamydiae	203
Basidiomycota	225
Chytridiomycota	12
Aquificae	12
Fibrobacteres	10
Microsporidia	17
Tenericutes	44
Cloacimonetes	7
Armatimonadetes	6
Fusobacteria	10
Deinococcus-Thermus	13
Hydrogenedentes	3
Thermotogae	11
Microgenomates	4
Latescibacteria	5
Gracilibacteria	3
Nitrospinae	3
Synergistetes	7
Deferribacteres	4
Thermodesulfobacteria	2
Candidatus Saccharibacteria	1
Marinimicrobia	2
Dictyoglomi	1
Poribacteria	3
Parcubacteria	2
Omnitrophica	1
Chrysiogenetes	3
Fervidibacteria	1
Atribacteria	2
Ignavibacteriae	1
Lentisphaerae	1
Nanohaloarchaeota	1
Cryptomycota	1
Aerophobetes	2
Thaumarchaeota	1
