Acidobacteria   4667464
Actinobacteria  1306519
Aerophobetes    8
Aquificae   16
Armatimonadetes 2
Ascomycota  95536
Atribacteria    4
Bacteroidetes   1025604
Basidiomycota   126
Candidatus Saccharibacteria 4
Chlamydiae  158
Chlorobi    186665
Chloroflexi 1026487
Chrysiogenetes  2
Chytridiomycota 7
Cloacimonetes   6
Crenarchaeota   560102
Cyanobacteria   510219
Deferribacteres 4
Deinococcus-Thermus 9
Dictyoglomi 1
Elusimicrobia   56481
Euryarchaeota   746725
Fibrobacteres   8
Firmicutes  1218380
Fusobacteria    15
Gemmatimonadetes    186700
Gracilibacteria 2
Ignavibacteriae 6
Latescibacteria 5
Lentisphaerae   3
Marinimicrobia  8
Microgenomates  3
Microsporidia   2
Nanoarchaeota   2
Nitrospinae 1
Nitrospira  557980
Omnitrophica    1
Parcubacteria   8
Planctomycetes  1306930
Poribacteria    6
Proteobacteria  4253815
Spirochaetes    590408
Synergistetes   8
Tenericutes 31
Thaumarchaeota  4
Thermodesulfobacteria   4
Thermotogae 7
Verrucomicrobia 933501
