Taxon	setA1	setA2	setA3	setB1	setB2	setB3
Unassigned;Other	8439.0	8527.0	8890.0	11746.0	9332.0	8472.0
Crenarchaeota	108.0	73.0	86.0	362.0	216.0	266.0
Euryarchaeota	72.0	68.0	84.0	806.0	596.0	566.0
Bacteria;Other	21.0	13.0	31.0	49.0	40.0	40.0
0.0	0.0	2.0	0.0	0.0		0.0
Acidobacteria	776.0	717.0	725.0	1423.0	1016.0	999.0
Actinobacteria	1705.0	1624.0	1779.0	1204.0	830.0	856.0
Armatimonadetes	1.0	0.0	1.0	0.0	0.0	1.0
Bacteroidetes	685.0	666.0	705.0	988.0	699.0	745.0
Chlorobi	558.0	517.0	538.0	132.0	93.0	102.0
Chloroflexi	554.0	565.0	508.0	590.0	337.0	425.0
Cyanobacteria	867.0	877.0	949.0	372.0	323.0	272.0
Elusimicrobia	52.0	45.0	60.0	92.0	52.0	49.0
FBP	0.0	0.0	0.0	0.0	0.0	1.0
Firmicutes	989.0	922.0	995.0	3303.0	2249.0	2318.0
Gemmatimonadetes	50.0	35.0	30.0	37.0	39.0	35.0
H-178	0.0	0.0	0.0	2.0	0.0	0.0
NC10	0.0	0.0	0.0	0.0	2.0	2.0
NKB19	0.0	1.0	0.0	0.0	0.0	0.0
Nitrospirae	56.0	51.0	46.0	444.0	324.0	288.0
OP8	0.0	0.0	0.0	2.0	0.0	2.0
Planctomycetes	565.0	471.0	546.0	624.0	409.0	421.0
Proteobacteria	4058.0	3832.0	3959.0	6480.0	4599.0	4748.0
SAR406	0.0	0.0	1.0	0.0	0.0	0.0
Spirochaetes	240.0	220.0	262.0	284.0	217.0	226.0
Tenericutes	0.0	1.0	0.0	0.0	0.0	0.0
Verrucomicrobia	422.0	443.0	416.0	605.0	443.0	405.0
WS3	0.0	0.0	0.0	0.0	2.0	0.0
[Caldithrix]	0.0	0.0	0.0	2.0	0.0	0.0
[Thermi]	0.0	2.0	0.0	2.0	0.0	2.0
